"AtcoCode","FerryCode","Name","NameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9300LCT","LCT","Tarbert (Loch Fyne) Ferry Terminal","","U",187120,668905,"2005-10-11T00:00:00","2010-09-06T16:59:45",3,"rev"
"9300LEV","LEV","Leverburgh Harris Ferry Terminal","","U",101286,886303,"2005-10-11T00:00:00","2008-04-14T17:33:50",3,"rev"
"9300LGH","LGH","Lochgoilhead Ferry Terminal","","U",219969,701098,"2008-06-17T08:39:51","2008-06-17T08:39:51",0,"new"
"9300LGS","LGS","Largs Ferry Terminal","","U",220115,659470,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LHD","LHD","Lerwick Shetland Hays Dock Ferry Terminal","","U",447249,1141881,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LHL","LHL","Lochaline Ferry Terminal","","U",167990,744680,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LHM","LHM","Lerwick Shetland Holmsgarth Ferry Terminal","","U",446859,1142311,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LHP","LHP","Longhope Orkney Ferry Terminal","","U",330352,990950,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LIB","LIB","Liverpool Belfast Ferry Terminal Bootle","","U",333266,394554,"2008-06-19T08:52:28","2008-11-17T19:24:49",1,"rev"
"9300LID","LID","Liverpool Isle of Man & Dublin Terminal","","U",333690,390400,"2008-06-19T08:52:28","2008-06-19T08:52:28",0,"new"
"9300LKB","LKB","Lake Bank (Coniston) Ferry Landing","","U",328984,489980,"2010-07-19T13:12:58","2010-07-19T13:12:58",0,"new"
"9300LMA","LMA","Lochmaddy North Uist Ferry Terminal","","U",91980,868000,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LMR","LMR","Lismore Ferry Terminal","","U",185235,740920,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LNH","LNH","Leith Newhaven Harbour Ferry Landing","","U",325406,677197,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LOD","LOD","Lodore Falls Derwentwater Ferry Landing","","U",326455,519227,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LOW","LOW","Low Brandelhow Derwentwater Ferry Landing","","U",325272,520717,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LPL","LPL","Leaplish Ferry Landing","","U",366044,587895,"2011-06-28T14:21:41","2011-06-28T14:21:41",0,"new"
"9300LRK","LRK","Lerwick Shetland Esplanade Ferry Terminal","","U",447684,1141440,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LUI","LUI","South Cuan Luing Ferry Terminal","","U",175120,714155,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300LUN","LUN","Lundy Island Ferry Landing","","U",214259,143819,"2005-10-11T00:00:00","2008-04-25T15:10:20",2,"rev"
"9300LUS","LUS","Luss Pier","","U",236099,693053,"2010-08-13T16:25:19","2010-08-13T16:25:19",0,"new"
"9300LYD","LYD","Lydney Harbour","","U",365095,201395,"2008-04-07T11:10:42","2008-04-07T11:10:42",0,"new"
"9300LYM","LYM","Lymington Pier Ferry Terminal","","U",433320,95410,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300LYS","LYS","Lyness Orkney Ferry Terminal","","U",331310,994620,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300MAH","MAH","Martins Haven Ferry Landing","","U",176084,209206,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300MAR","MAR","St Mary's Isles Of Scilly Ferry Terminal","","U",90265,10950,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300MAT","MAT","St Martin's Isles Of Scilly Ferry Landing","","U",93040,15145,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300MAW","MAW","St Mawes Ferry Landing","","U",184782,32995,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
