"AtcoCode","FerryCode","Name","NameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9300TAB","TAB","Tarbert (Harris) Ferry Terminal","","U",115775,899810,"2005-10-11T00:00:00","2010-09-06T16:59:45",3,"rev"
"9300TAF","TAF","Taffs Mead Waterbus Stop","","U",317964,175770,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300TAR","TAR","Tarbet (Loch Lomond) Pier","","U",232106,704423,"2010-08-16T15:18:10","2010-09-06T16:59:45",1,"rev"
"9300TAV","TAV","Tayvallich (Argyll & Bute) Ferry Terminal","","U",174239,687259,"2008-06-16T10:58:29","2008-06-16T10:58:29",0,"new"
"9300TBP","TBP","Torquay Harbour Boarding Pontoon","","U",291825,63235,"2008-08-22T09:08:53","2008-08-22T09:08:53",0,"new"
"9300TCK","TCK","Trelisick Ferry Landing","","U",184035,39595,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TCO","TCO","Tresco Isles Of Scilly Ferry Landing","","U",89296,13379,"2005-10-11T00:00:00","2008-04-25T15:12:12",3,"rev"
"9300TEN","TEN","Tenby Ferry Landing","","U",213548,200622,"2005-10-11T00:00:00","2008-04-25T15:12:29",2,"rev"
"9300TFL","TFL","Turf Lock Inn Ferry Landing","","U",296480,85870,"2010-12-10T15:16:27","2010-12-10T15:16:27",0,"new"
"9300THM","THM","Topsham Ferry Landing","","U",296395,88125,"2005-10-11T00:00:00","2010-12-10T15:17:26",2,"rev"
"9300TIG","TIG","Tighnabruaich Pier Ferry Terminal","","U",198584,673301,"2006-08-14T08:55:26","2006-12-22T10:10:40",2,"rev"
"9300TIL","TIL","Tilbury Ferry Terminal","","U",564504,175069,"2005-10-11T00:00:00","2008-04-25T15:19:17",2,"rev"
"9300TKN","TKN","Tower Knowe Ferry Landing","","U",369836,586961,"2011-06-28T14:21:41","2011-06-28T14:21:41",0,"new"
"9300TLI","TLI","Topsham Lock Ferry Landing","","U",296256,87972,"2005-10-11T00:00:00","2010-12-10T15:18:22",2,"rev"
"9300TLN","TLN","Tarbet (Loch Nevis) Ferry Landing","","U",179082,792512,"2005-10-11T00:00:00","2010-09-06T16:59:45",2,"rev"
"9300TMP","TMP","Tower Millennium Pier","","U",533408,180513,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300TNM","TNM","Teignmouth Ferry Landing","","U",293885,72425,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TOB","TOB","Tobermory Mull Ferry Terminal","","U",150845,755327,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TOF","TOF","Toft Shetland Ferry Terminal","","U",443712,1176169,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TOL","TOL","Tolverne Ferry Landing","","U",184552,40218,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TOR","TOR","Torquay - North Quay","","U",291736,63369,"2005-10-11T00:00:00","2008-08-22T09:09:10",2,"rev"
"9300TOT","TOT","Totnes Ferry Landing","","U",280644,60012,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TPT","TPT","Torpoint Ferry Terminal","","U",244163,55135,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TRE","TRE","Tiree Ferry Terminal","","U",104867,745462,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TRN","TRN","Troon Ferry Terminal","","U",230846,631647,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TSC","TSC","Tarbet (Scourie) Ferry Landing","","U",216357,948842,"2005-10-11T00:00:00","2010-09-06T16:59:45",2,"rev"
"9300TTL","TTL","Topsham (Turf Lock Ferry) Ferry Landing","","U",296535,87935,"2010-12-10T15:16:27","2010-12-10T15:16:27",0,"new"
"9300TUK","TUK","Tuckton Tea Gardens Ferry Landing","","U",414895,92249,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TVR","TVR","Torver (Coniston) Ferry Landing","","U",330175,495126,"2010-07-19T13:12:47","2010-07-19T13:12:47",0,"new"
"9300TWL","TWL","Tingwall Orkney Ferry Terminal","","U",340305,1022885,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TYL","TYL","Tayinloan Ferry Terminal","","U",169295,646555,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300UFU","UFU","Ulva Ferry (Ulva) Ferry Landing","","U",144372,739777,"2010-12-10T15:14:09","2010-12-10T15:14:09",0,"new"
"9300UIG","UIG","Uig Skye Ferry Terminal","","U",138535,863585,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300ULL","ULL","Ullapool Ferry Terminal","","U",212777,893880,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ULS","ULS","Ulsta Shetland Ferry Terminal","","U",446328,1179456,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300ULV","ULV","Ulva Ferry (Mull) Ferry Landing","","U",144590,739896,"2005-10-11T00:00:00","2010-12-10T15:15:26",2,"rev"
"9300VID","VID","Vidlin Shetland Ferry Terminal","","U",448115,1165742,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WAL","WAL","Wallasea Island Ferry Landing","","U",593582,195281,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WAR","WAR","Warsash Ferry Landing","","U",448842,106412,"2005-10-11T00:00:00","2010-08-12T16:58:21",2,"rev"
"9300WAS","WAS","Woolwich Arsenal Pier","","U",543833,179390,"2007-06-18T11:41:04","2010-12-06T18:11:21",2,"rev"
"9300WAT","WAT","Waterhead Hotel (Coniston) Ferry Landing","","U",331144,497389,"2010-07-19T13:12:42","2010-07-19T13:12:42",0,"new"
"9300WBU","WBU","West Burrafirth Shetland Ferry Terminal","","U",425535,1156909,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WEY","WEY","Weymouth Ferry Terminal","","U",368360,78827,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WIC","WIC","Wick Christchurch Ferry Landing","","U",415570,92186,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WLB","WLB","Walberswick Ferry Landing","","U",650068,274970,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WLN","WLN","West Lynn Ferry Landing","","U",561323,320309,"2005-10-11T00:00:00","2008-10-07T09:12:08",2,"rev"
"9300WLS","WLS","Walls Shetland Ferry Terminal","","U",424011,1148907,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WMB","WMB","Wemyss Bay Ferry Terminal","","U",219250,668510,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WMP","WMP","London Eye Millennium Pier","","U",530620,179973,"2005-10-11T00:00:00","2010-12-06T18:11:21",3,"rev"
"9300WMR","WMR","Westminster Millennium Pier","","U",530327,179738,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300WOO","WOO","Woodside Birkenhead Ferry Terminal","","U",332937,389150,"2005-10-11T00:00:00","2008-12-01T16:22:33",4,"rev"
"9300WPK","WPK","Water Park (Coniston) Ferry Landing","","U",329350,490442,"2010-07-19T13:13:06","2010-07-19T13:13:06",0,"new"
"9300WPT","WPT","Warren Point Ferry Landing","","U",253775,47755,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WRQ","WRQ","Wandsworth Riverside Quarter Pier","","U",525209,175293,"2007-06-18T11:40:33","2009-08-24T12:18:04",1,"rev"
"9300WSM","WSM","Weston-super-Mare Knightstone Harbour","","U",331220,161780,"2008-04-07T11:13:57","2008-04-07T11:13:57",0,"new"
"9300WWC","WWC","Woolwich Ferry North Pier","","U",543145,179660,"2005-10-11T00:00:00","2010-07-29T15:01:34",3,"rev"
"9300WWS","WWS","Woolwich Ferry South Pier","","U",543244,179374,"2005-10-11T00:00:00","2007-06-11T15:34:32",2,"rev"
"9300WYB","WYB","Weybridge Ferry Landing","","U",507504,165872,"2010-02-11T15:04:56","2010-02-11T15:04:56",0,"new"
"9300WYR","WYR","Wyre Orkney Ferry Terminal","","U",344430,1026850,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300YMO","YMO","Yarmouth IOW Ferry Terminal","","U",435368,89752,"2005-10-11T00:00:00","2008-05-20T09:47:20",4,"rev"
"9300YOK","YOK","Yoker Ferry Terminal","","U",251167,668559,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300YVZ","YVZ","Plymouth Stonehouse Ferry Terminal","","U",246160,53985,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
