"ParentStopAreaCode","ChildStopAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"910GDEAL","240GA060240R","2009-04-08T16:39:00","2009-04-08T16:39:00",0,"new"
"910GDENHAM","040G00001313","2007-05-10T00:00:00","2007-05-10T00:00:00",,"new"
"910GDENHAM","040G00001314","2007-05-15T00:00:00","2007-05-15T00:00:00",,"new"
"910GDENHMGC","040G00001350","2008-09-24T00:00:00","2008-09-24T00:00:00",,"new"
"910GDENMRKH","490G01083H7","","",,"new"
"910GDEPDENE","400G4408240B","2009-03-16T11:56:00","2009-03-16T11:56:00",0,"new"
"910GDEPDENE","400G4408805A","2009-03-16T11:58:00","2009-03-16T11:58:00",0,"new"
"910GDERBYRD","390G30657","2011-09-28T14:17:12","2011-09-28T14:17:12",,"new"
"910GDIDCOTP","340G00176STB","2009-05-01T11:38:00","2009-05-01T11:38:00",0,"new"
"910GDISLEY","060GMA93","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GDISS","290G96","2009-01-15T15:26:07","2009-01-15T15:26:07",,"new"
"910GDISS","290GD1640","2009-01-15T15:24:36","2009-01-15T15:24:36",,"new"
"910GDISS","290GD1643","2009-01-15T15:26:29","2009-01-15T15:26:29",,"new"
"910GDNTG","100GDDRS0960","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GDORKING","910GDEPDENE","2009-03-17T14:56:00","2009-03-17T14:56:00",0,"new"
"910GDORMANS","400G4410040B","2009-03-16T12:01:00","2009-03-16T12:01:00",0,"new"
"910GDOVERP","240GA030630A","2009-06-09T14:59:00","2009-06-09T14:59:00",0,"new"
"910GDOVERP","240GA031990A","2009-11-19T11:13:00","2009-11-19T11:13:00",0,"new"
"910GDOVERP","240GA043560A","2009-11-19T11:07:00","2009-11-19T11:07:00",0,"new"
"910GDOVERP","240GA070190A","2009-11-19T10:32:00","2009-11-19T10:32:00",0,"new"
"910GDOVRCRT","150G00002758","","",,"new"
"910GDOWNHAM","290G2064","2009-02-24T15:46:35","2009-02-24T15:46:35",,"new"
"910GDOWNHAM","290G8","2010-06-28T10:19:20","2010-06-28T10:19:20",,"new"
"910GDOWNHAM","290G8759","2009-02-24T15:46:17","2009-02-24T15:46:17",,"new"
"910GDRAYGRN","490G01085W","","",,"new"
"910GDRBY","109G00015536","2008-12-01T00:00:00","2008-12-01T00:00:00",,"new"
"910GDRBY","109G52606","2010-07-20T00:00:00","2010-07-20T00:00:00",,"new"
"910GDRBY","109GDDRS0695","2008-12-01T00:00:00","2008-12-01T00:00:00",,"new"
"910GDRKGW","400G4408108B","2009-03-16T12:07:00","2009-03-16T12:07:00",0,"new"
"910GDRKGW","400G4408110A","2009-03-16T12:08:00","2009-03-16T12:08:00",0,"new"
"910GDRKGW","400G4408955A","2009-03-16T12:10:00","2009-03-16T12:10:00",0,"new"
"910GDRNGTOS","440GWO0074","2008-07-22T14:59:00","2008-07-22T14:59:00",0,"new"
