"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"2500LAA00424","SILVERDALE Crag Foot","","","","SILVERDALE Crag Foot","","New Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00425","SILVERDALE Crag Foot","","","","SILVERDALE Crag Foot","","New Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00426","DELETED RECORD","","","","Beaumont Bridge","","Slyne Road","","","","","","2009-09-14T08:57:00","2010-05-06T11:16:00",2,"del"
"2500LAA00427","DELETED RECORD","","","","Beaumont Bridge","","SLYNE ROAD","","","","","","2009-09-14T08:57:00","2010-05-06T11:17:00",2,"del"
"2500LAA00428","Lancaster Bowerham Hotel","","","","Lancaster Bowerham Hotel","","Bowerham Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00429","OUT RAWCLIFFE Hoskinshire Farm","","","","OUT RAWCLIFFE Hoskinshire Farm","","LANCASTER ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00430","OUT RAWCLIFFE Hoskinshire Farm","","","","OUT RAWCLIFFE Hoskinshire Farm","","LANCASTER ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00432","OUT RAWCLIFFE Town End","","","","OUT RAWCLIFFE Town End","","RAWCLIFFE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00435","STAKEPOOL Ellletson Arms","","","","STAKEPOOL Ellletson Arms","","LANCASTER ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00436","STAKEPOOL Horse Pack Lane","","","","STAKEPOOL Horse Pack Lane","","HORSE PARK LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00437","STAKEPOOL Horse Pack Lane","","","","STAKEPOOL Horse Pack Lane","","HORSE PARK LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00438","PREESALL Catrets Charity School","","","","PREESALL Catrets Charity School","","PILLING LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00439","PILLING Lane Ends","","","","PILLING Lane Ends","","TAYLORS LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00440","PILLING Wheel Lane","","","","PILLING Wheel Lane","","HOOLES LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00441","PILLING Fluke Hall Lane","","","","PILLING Fluke Hall Lane","","WHEEL LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00442","MOOR NOOK Moor Nook CPS","","","","MOOR NOOK Moor Nook CPS","","RIBBLETON HALL DRIVE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00443","TANTERTON Tag Croft","","","","TANTERTON Tag Croft","","TANTERTON HALL ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00444","DEEPDALE PNE Stadium","","","","DEEPDALE PNE Stadium","","Lowthorpe Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00445","UPHOLLAND Dailton Road","","","","UPHOLLAND Dailton Road","","DEARDEN WAY","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00446","UPHOLLAND Highgate Road","","","","UPHOLLAND Highgate Road","","HIGHGATE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00447","UPHOLLAND Alma Hill","","","","UPHOLLAND Alma Hill","","ALMA HILL","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00451","NELSON Holy Saviours School","","","","NELSON Holy Saviours School","","REEDYFORD ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00452","KIRKBY LONSDALE Booths","","","","KIRKBY LONSDALE Booths","","BENTINCK DRIVE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00453","SCORTON Bracken Lea","","","","SCORTON Bracken Lea","","LONG LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00454","SCORTON Potters Hill Farm","","","","SCORTON Potters Hill Farm","","ARKMERE LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00455","SCORTON Potters Hill Farm","","","","SCORTON Potters Hill Farm","","HIGHER LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00456","SCORTON Cross Hill Farm","","","","SCORTON Cross Hill Farm","","LONG LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00458","SCORTON Gubberford Lane","","","","SCORTON Gubberford Lane","","GUBBERFORD LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00459","DELETED RECORD","","","","Barnacre","","DELPH LANE","","","","","","2009-09-14T08:57:00","2011-01-13T15:07:00",2,"del"
"2500LAA00460","HALSALL New Street","","","","HALSALL New Street","","MILL BROW","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00461","HALSALL Plex Lane","","","","HALSALL Plex Lane","","PLEX LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00462","HALSALL Police Station","","","","HALSALL Police Station","","SUMMERWOOD LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00463","DOWNHOLLAND Rosemary Lane","","","","DOWNHOLLAND Rosemary Lane","","ROSEMARY LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00464","HALSALL Dicconsons Lane","","","","HALSALL Dicconsons Lane","","DICCONSONS LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00465","HALSALL Threllfalls Cottage","","","","HALSALL Threllfalls Cottage","","NARROW LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00467","GOLDEN HILL LANE Northgate","","","","GOLDEN HILL LANE Northgate","","GOLDEN HILL LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00468","MOSSY LEA Crow Orchard Rd","","","","Crow Orchard Rd","","Mossy Lea Rd","","","","","","2009-09-14T08:57:00","2010-01-08T15:58:00",2,"rev"
"2500LAA00469","DELETED RECORD","","","","Mossy Lea Road","","MOSSY LEA ROAD","","","","","","2009-09-14T08:57:00","2010-06-10T14:40:00",2,"del"
"2500LAA00470","COLNE Vivary Way","","","","COLNE Vivary Way","","VIVARY WAY","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00471","GREAT HARWOOD Queen Street","","","","GREAT HARWOOD Queen Street","","QUEEN STREET","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00472","SKELMERSDALE Southway","","","","SKELMERSDALE Southway","","SOUTHWAY","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00473","CRAWFORD Crawford Arms","","","","CRAWFORD Crawford Arms","","CRAWFORD ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00474","Bescar Church","","","","St Elizabeths RC Church","","Hall Road","","","","o/s","","2009-09-14T08:57:00","2011-04-13T08:57:00",2,"rev"
"2500LAA00475","TURN Plane Tree","","","","TURN Plane Tree","","ROCHDALE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00476","STUBBINS Station","","","","STUBBINS Station","","STUBBINS STREET","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00477","DIGMOOR Beechtrees","","","","DIGMOOR Beechtrees","","BEECHTREES","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00478","BURNLEY St Peters Centre","","","","BURNLEY St Peters Centre","","Church Street","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00479","ASHURST Lowcroft","","","","ASHURST Lowcroft","","Ashley Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
