"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"410000060606","","900069092","Newcastle upon Tyne","en","Newcastle-upon-Tyne: Coach Stn, St James Blvd","en","U",424252,563737,"","",0,""
"41000008NC96","","900098017","Newcastle upon Tyne","en","Newcastle upon Tyne: Central Station, Neville St","en","U",424654,563916,"","",0,""
"41000024MS52","","900071112","Sunderland (Tyne & Wear)","en","Sunderland: Park Lane, Transport Interchange","en","U",439581,556582,"","",0,""
"41000042MS05","","900071092A","South Shields","en","South Shields: Bus Stn, Stop F","en","U",436344,567224,"","",0,""
"4100008ELDAS","","900098310N","Newcastle upon Tyne","en","Newcastle: Eldon Square, Stand A","en","U",424681,564624,"","",0,""
"4100015GHDES","","900071022","Gateshead","en","Gateshead: Metro Interchange","en","U",425430,563107,"","",0,""
"4100023WASHS","","900071132","Washington (Sunderland Urban Area)","en","Washington (T&W): Galleries Bus Stn","en","U",430003,556164,"","",0,""
"4200F003400","","900034084","Atherstone (Warwicks)","en","Atherstone: Bus Stn, Station St","en","U",430750,297749,"","",0,""
"4200F006700","","900034074A","Bedworth","en","Bedworth: opp Swan P.H.","en","U",435880,287079,"","",0,""
"4200F006703","","900034074C","Bedworth","en","Bedworth: o/s Iceland","en","U",435826,287081,"","",0,""
"4200F030500","","900040053C","Kenilworth","en","Kenilworth: opp De Montfort Hotel, Abbey End","en","U",428714,271838,"","",0,""
"4200F047400","","900034064","Nuneaton","en","Nuneaton: Bus Stn, Harefield Rd","en","U",436268,291954,"","",0,""
"4200F055701","","900034143C","Rugby","en","Rugby: Lawrence Sheriff School","en","U",450792,275099,"","",0,""
"4200F055702","","900034143A","Rugby","en","Rugby: Clifton Road","en","U",450773,275104,"","",0,""
"4200F058300","","900098347","Rugby","en","Rugby: outside Rail Station","en","U",451072,275914,"","",0,""
"4200F085800","","900040023","Warwick (Warwicks)","en","Warwick Parkway: Rail Stn","en","U",426499,265430,"","",0,""
"4200F108901","","900040053A","Kenilworth","en","Kenilworth: o/s De Montfort Hotel, Abbey End","en","U",428667,271864,"","",0,""
"4200F127650","","900084053","Stratford-upon-Avon","en","Stratford-upon-Avon: Riverside Bus Stn","en","U",420671,255289,"","",0,""
"4200F152321","","900040003A","Warwick (Warwicks)","en","Warwick: Bus Station, Bowling Green Street","en","U",427965,264800,"","",0,""
"4200F152322","","900040003C","Warwick (Warwicks)","en","Warwick: Bus Station, Bowling Green Street","en","U",427994,264816,"","",0,""
"4200F153110","","900040073","Leamington Spa","en","Leamington Spa: Hamilton Terrace","en","U",431910,265745,"","",0,""
"4200F163101","","900084023A","Bidford-on-Avon","en","Bidford-on-Avon: Budgens Supermarket","en","U",409603,251806,"","",0,""
"4200F163102","","900084023C","Bidford-on-Avon","en","Bidford-on-Avon: opp Budgens Supermarket","en","U",409578,251780,"","",0,""
"43000005002","","900034013","Coventry","en","Coventry: Pool Meadow Bus Stn, Stand B","en","U",433684,279242,"","",0,""
"43000063102","","900098178","Cannon Park","en","Coventry: Cannon Park","en","U",430456,276745,"","",0,""
"43000064102","","900040013C","Gibbet Hill (Coventry)","en","Coventry: Kenilworth Road, adj Gibbet Hill Road","en","U",430741,274871,"","",0,""
"43000065301","","900040013A","Kirby Corner","en","Warwick University: Campus Bus Stop","en","U",429930,275768,"","",0,""
"43000065302","","900040013B","Kirby Corner","en","Warwick University: Campus Bus Stop","en","U",429925,275773,"","",0,""
"43000105511","","900033343","Birmingham Airport","en","Birmingham International Airport: Stand K","en","U",418289,283915,"","",0,""
"43000159301","","900033153C","Solihull","en","Solihull: Warwick Road, Argos","en","U",415481,279640,"","",0,""
"43000159302","","900033153A","Solihull","en","Solihull: Wariwck Road, Beatties","en","U",415365,279690,"","",0,""
"43000202111","","900098334","Birmingham","en","Birmingham: Moor St Queensway Stop Me","en","U",407402,286897,"","",0,""
"43000208402","","900098018","Birmingham","en","Birmingham: The Priory Queensway, Stop PA","en","U",407326,287124,"","",0,""
"43000211304","","900033023","Digbeth","en","Birmingham: Central Coach Station, Digbeth","en","U",407648,286412,"","",0,""
"43000300602","","900033022A","Five Ways","en","Birmingham: Hagley Rd. Five Ways","en","U",405541,286056,"","",0,""
"43000300606","","900033022C","Five Ways","en","Birmingham: Hagley Rd. Five Ways","en","U",405508,286086,"","",0,""
"43000310301","","900033013C","Court Oak","en","Birmingham (Bearwood): Lay-by, opp Bus Stn","en","U",402147,285946,"","",0,""
"43000310306","","900033013A","Court Oak","en","Birmingham (Bearwood): Lay-by, o/s Bus Stn","en","U",402173,286002,"","",0,""
"43000601301","","900033073","Walsall","en","Walsall: Hatherton Rd, Stop WE","en","U",401300,298698,"","",0,""
"43000622403","","900033543A","Bloxwich","en","Bloxwich: Park Rd, Stop BB","en","U",399837,302312,"","",0,""
"43000622503","","900033543C","Bloxwich","en","Bloxwich: Park Rd, Stop BR","en","U",399863,302478,"","",0,""
"43000700802","","900019063","Wolverhampton","en","Wolverhampton: Bus Station","en","U",391780,298596,"","",0,""
"43000875320","","900019023","Dudley (W Mids)","en","Dudley: Bus Stn","en","U",394697,290364,"","",0,""
"43000944102","","900098266","Smethwick","en","Smethwick: Blue Gates","en","U",401971,288758,"","",0,""
"4400AD0063","","900063170A","South Lancing","en","Lancing: Brighton Rd, nr Three Horseshoes","en","U",518033,103645,"","",0,""
"4400AD0064","","900063170C","South Lancing","en","Lancing: Brighton Rd, opp Three Horseshoes","en","U",518224,103754,"","",0,""
"4400AD0203","","900063166C","Shoreham-by-Sea","en","Shoreham-by-Sea: opp Ship St","en","U",521375,105050,"","",0,""
"4400AD0204","","900063166A","Shoreham-by-Sea","en","Shoreham-by-Sea: nr Ship St","en","U",521400,105053,"","",0,""
"4400AD0329","","900059005A","Southwick (Shoreham-by-Sea)","en","Southwick: The Pilot","en","U",524281,105030,"","",0,""
"4400AD0330","","900059005C","Southwick (Shoreham-by-Sea)","en","Southwick: opp The Pilot","en","U",524284,105018,"","",0,""
"4400CH0490","","900063456","Chichester (W Sussex)","en","Chichester: Bus Stn","en","U",485992,104316,"","",0,""
"4400CY0358","","900063086A","Gatwick Airport","en","Gatwick Airport: South Terminal, Stop A","en","U",528818,141180,"","",0,""
"4400CY0375","","900063057A","Gatwick Airport","en","Gatwick Airport: North Terminal, Stop 4","en","U",527594,141717,"","",0,""
"4400CY0375","","900063057C","Gatwick Airport","en","Gatwick Airport: North Terminal, Stop 4","en","U",527594,141717,"","",0,""
"4400EG0272","","900059506A","East Grinstead","en","East Grinstead: War Memorial","en","U",539535,137973,"","",0,""
"4400EG0273","","900059506C","East Grinstead","en","East Grinstead: Barclays Bank, High St","en","U",539499,137962,"","",0,""
"4400EG0295","","900098342","East Grinstead","en","East Grinstead Rail Station","en","U",538852,138236,"","",0,""
"4400HO0180","","900063316A","Horsham (W Sussex)","en","Horsham: opp. Rail Stn","en","U",517787,130926,"","",0,""
"4400LH0018","","900063447A","Rustington","en","Rustington: Bus Shelter, nr Church Rd","en","U",505154,102293,"","",0,""
"4400LH0019","","900063447C","Rustington","en","Rustington: Bus Shelter, nr Claigmar Rd","en","U",505238,102267,"","",0,""
"4400LH0129","","900063426A","Littlehampton","en","Littlehampton: Safeway","en","U",502879,102188,"","",0,""
"4400LH0281","","900063466C","Arundel","en","Arundel: Queen St, nr river bridge, opp The Whit","en","U",502007,106931,"","",0,""
"4400LH0486","","900063446","Felpham","en","Bognor Regis: Hotham Park, Butlins","en","U",494603,99456,"","",0,""
"4400LH0541","","900063436C","Bognor Regis","en","Bognor Regis: HSBC Bank","en","U",493596,99012,"","",0,""
"4400LH0544","","900063436A","Bognor Regis","en","Bognor Regis: Blockbuster Video","en","U",493637,99048,"","",0,""
"4400LH0596","","900063427A","Felpham","en","Felpham: The Southdowns","en","U",495985,100245,"","",0,""
"4400LH0597","","900063427C","Felpham","en","Felpham: Methodist Church","en","U",496029,100269,"","",0,""
"4400LH0664","","900063466A","Arundel","en","Arundel: Queen St, nr river bridge, opp Martlets","en","U",501994,106983,"","",0,""
"4400MS0188","","900063106A","Hickstead","en","Hickstead: Castle Inn","en","U",526852,120405,"","",0,""
"4400MS0189","","900063106C","Hickstead","en","Hickstead: Little Chef","en","U",526977,120223,"","",0,""
"4400WO0199","","900063186A","Goring by Sea","en","West Worthing: opp. Toby Inn","en","U",512467,102729,"","",0,""
"4400WO0200","","900063186C","Goring by Sea","en","West Worthing: Toby Inn","en","U",512425,102708,"","",0,""
