"AtcoCode","StartGridType","StartEasting","StartNorthing","EndGridType","EndEasting","EndNorthing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1800NEH1002","U",384562,409669,"U",383553,409147,"","",0,"new"
"1800NEH1011","U",388992,413754,"U",389068,413967,"","",0,"new"
"1800NEH1012","U",389068,413967,"U",388992,413754,"","",0,"new"
"1800NEH1021","U",389626,415101,"U",389876,415214,"","",0,"new"
"1800NEH1022","U",389626,415101,"U",389950,415220,"","",0,"new"
"1800NEH1031","U",389626,415101,"U",389778,415495,"","",0,"new"
"1800NEH1032","U",389626,415101,"U",389837,415493,"","",0,"new"
"1800NEH1041","U",389685,414000,"U",389442,413857,"","",0,"new"
"1800NEH1042","U",389442,413857,"U",389685,414000,"","",0,"new"
"1800NEH1051","U",389685,414000,"U",389442,413857,"","",0,"new"
"1800NEH1052","U",389442,413857,"U",389685,414000,"","",0,"new"
"1800NEH1061","U",385957,409357,"U",385574,409902,"","",0,"new"
"1800NEH1062","U",385574,409902,"U",385957,409357,"","",0,"new"
"1800NEH1071","U",385574,409902,"U",386169,410140,"","",0,"new"
"1800NEH1072","U",385574,409902,"U",386169,410140,"","",0,"new"
"1800NEH1081","U",384329,411230,"U",384041,411199,"","",0,"new"
"1800NEH1082","U",384041,411199,"U",384329,411230,"","",0,"new"
"1800NEH1091","U",383965,410804,"U",384041,411199,"","",0,"new"
"1800NEH1092","U",384041,411199,"U",383965,410804,"","",0,"new"
"1800NEH1101","U",389770,413490,"U",389900,413520,"","",0,"new"
"1800NEH1102","U",389900,413520,"U",389770,413490,"","",0,"new"
"1800NEH1111","U",389853,412415,"U",390044,412264,"","",0,"new"
"1800NEH1112","U",390044,412264,"U",389853,412415,"","",0,"new"
"1800NEH1121","U",389845,412510,"U",389895,412683,"","",0,"new"
"1800NEH1122","U",389895,412683,"U",389845,412510,"","",0,"new"
"1800NEH1131","U",390319,412427,"U",389845,412510,"","",0,"new"
"1800NEH1132","U",389845,412510,"U",390319,412427,"","",0,"new"
"1800NEH1141","U",390319,412427,"U",390811,412496,"","",0,"new"
"1800NEH1142","U",390811,412496,"U",390319,412427,"","",0,"new"
"1800NEH1151","U",390953,412517,"U",391085,412298,"","",0,"new"
"1800NEH1152","U",391085,412298,"U",390953,412517,"","",0,"new"
"1800NEH1161","U",390980,412760,"U",391182,412589,"","",0,"new"
"1800NEH1162","U",391182,412589,"U",390980,412760,"","",0,"new"
"1800NEH1171","U",390980,412760,"U",390954,413023,"","",0,"new"
"1800NEH1172","U",390954,413023,"U",390980,412760,"","",0,"new"
"1800NEH1181","U",384452,406078,"U",385152,405249,"","",0,"new"
"1800NEH1182","U",385152,405249,"U",384452,406078,"","",0,"new"
"1800NEH1191","U",391085,412298,"U",391182,412589,"","",0,"new"
"1800NEH1192","U",391182,412589,"U",391085,412298,"","",0,"new"
"1800NEH1201","U",387080,406590,"U",387480,406480,"","",0,"new"
"1800NEH1202","U",387480,406480,"U",387080,406590,"","",0,"new"
"1800NEH1211","U",388017,404261,"U",388082,404269,"","",0,"new"
"1800NEH1212","U",388047,404151,"U",388129,404557,"","",0,"new"
"1800NEH1221","U",387957,404357,"U",388050,404550,"","",0,"new"
"1800NEH1222","U",387269,404305,"U",388047,404151,"","",0,"new"
"1800NEH1231","U",387080,406590,"U",387480,406480,"","",0,"new"
"1800NEH1232","U",387480,406480,"U",387080,406590,"","",0,"new"
"1800NEH1241","U",396390,411173,"U",394796,411922,"","",0,"new"
"1800NEH1242","U",394796,411922,"U",396390,411173,"","",0,"new"
"1800NEH1251","U",388575,408277,"U",388541,408370,"","",0,"new"
"1800NEH1261","U",388585,408157,"U",388868,408171,"","",0,"new"
"1800NEH1271","U",388082,404269,"U",388129,404557,"","",0,"new"
"1800NEH1272","U",388047,404151,"U",388129,404557,"","",0,"new"
"1800NEH1281","U",388073,404150,"U",388082,404269,"","",0,"new"
"1800NEH1282","U",388047,404151,"U",388129,404557,"","",0,"new"
"1800NEH1291","U",387713,404260,"U",387269,404305,"","",0,"new"
"1800NEH1292","U",387269,404305,"U",388047,404151,"","",0,"new"
"1800NEH1301","U",385139,407731,"U",385976,407619,"","",0,"new"
"1800NEH1302","U",385976,407619,"U",385139,407731,"","",0,"new"
"1800NEH1321","U",385712,410790,"U",385728,411083,"","",0,"new"
"1800NEH1322","U",385728,411083,"U",385712,410790,"","",0,"new"
"1800NEH1331","U",385728,411083,"U",386102,411146,"","",0,"new"
"1800NEH1332","U",386102,411146,"U",385728,411083,"","",0,"new"
"1800NEH1341","U",386102,411146,"U",385728,411083,"","",0,"new"
"1800NEH1342","U",386102,411146,"U",385728,411083,"","",0,"new"
"1800NEH1351","U",386102,411146,"U",386280,411210,"","",0,"new"
"1800NEH1352","U",386102,411146,"U",386347,411248,"","",0,"new"
"1800NEH1361","U",388978,408214,"U",389336,407751,"","",0,"new"
"1800NEH1371","U",386280,411210,"U",386102,411146,"","",0,"new"
"1800NEH1372","U",386347,411248,"U",386441,410916,"","",0,"new"
"1800NEH1381","U",388650,407887,"U",388506,407997,"","",0,"new"
"1800NEH1391","U",386117,410325,"U",385775,410339,"","",0,"new"
"1800NEH1392","U",385775,410339,"U",386117,410325,"","",0,"new"
"1800NEH1401","U",386117,410325,"U",385775,410339,"","",0,"new"
"1800NEH1402","U",385775,410339,"U",386117,410325,"","",0,"new"
"1800NEH1411","U",386117,410325,"U",385775,410339,"","",0,"new"
"1800NEH1412","U",385775,410339,"U",386117,410325,"","",0,"new"
"1800NEH1421","U",385775,410339,"U",385910,410624,"","",0,"new"
"1800NEH1422","U",385910,410624,"U",385775,410339,"","",0,"new"
"1800NEH1431","U",385775,410339,"U",385910,410624,"","",0,"new"
"1800NEH1432","U",385910,410624,"U",385775,410339,"","",0,"new"
"1800NEH1441","U",385775,410339,"U",385910,410624,"","",0,"new"
"1800NEH1442","U",385910,410624,"U",385775,410339,"","",0,"new"
"1800NEH1451","U",386093,407330,"U",385989,407495,"","",0,"new"
"1800NEH1452","U",385989,407495,"U",386093,407330,"","",0,"new"
"1800NEH1461","U",390980,412760,"U",390793,412660,"","",0,"new"
"1800NEH1462","U",390793,412660,"U",390980,412760,"","",0,"new"
"1800NEH1471","U",390980,412760,"U",390793,412660,"","",0,"new"
"1800NEH1472","U",390793,412660,"U",390980,412760,"","",0,"new"
"1800NEH1481","U",388061,411145,"U",387919,411079,"","",0,"new"
"1800NEH1482","U",387919,411079,"U",388061,411145,"","",0,"new"
"1800NEH1491","U",389117,412002,"U",389280,412497,"","",0,"new"
"1800NEH1501","U",390319,412427,"U",390811,412496,"","",0,"new"
"1800NEH1502","U",390811,412496,"U",390319,412427,"","",0,"new"
"1800NEH1511","U",387360,406200,"U",387900,406560,"","",0,"new"
"1800NEH1512","U",387900,406560,"U",387360,406200,"","",0,"new"
"1800NEH1521","U",387360,406200,"U",387900,406560,"","",0,"new"
"1800NEH1522","U",387900,406560,"U",387360,406200,"","",0,"new"
"1800NEH1531","U",387820,406720,"U",387900,406560,"","",0,"new"
"1800NEH1532","U",387900,406560,"U",387820,406720,"","",0,"new"
"1800NEH1541","U",393199,414948,"U",393226,415179,"","",0,"new"
"1800NEH1542","U",393226,415179,"U",393199,414948,"","",0,"new"
"1800NEH1551","U",386425,414438,"U",386199,414665,"","",0,"new"
"1800NEH1552","U",386168,414689,"U",386425,414438,"","",0,"new"
"1800NEH1561","U",394303,418116,"U",394434,418040,"","",0,"new"
"1800NEH1562","U",394434,418040,"U",394303,418116,"","",0,"new"
"1800NEH1571","U",394440,417805,"U",394441,418174,"","",0,"new"
"1800NEH1572","U",394441,418174,"U",394440,417805,"","",0,"new"
"1800NEH1581","U",393459,416937,"U",393118,416950,"","",0,"new"
"1800NEH1582","U",393118,416950,"U",393459,416937,"","",0,"new"
"1800NEH1591","U",394017,411766,"U",394796,411922,"","",0,"new"
"1800NEH1601","U",388502,412201,"U",388620,412383,"","",0,"new"
"1800NEH1602","U",388620,412383,"U",388502,412201,"","",0,"new"
"1800NEH1611","U",385847,410680,"U",385712,410790,"","",0,"new"
"1800NEH1612","U",385712,410790,"U",385847,410680,"","",0,"new"
"1800NEH1621","U",388058,414436,"U",387505,414361,"","",0,"new"
"1800NEH1622","U",387505,414361,"U",388058,414436,"","",0,"new"
"1800NEH1631","U",387577,414055,"U",387593,414181,"","",0,"new"
"1800NEH1632","U",387593,414181,"U",387577,414055,"","",0,"new"
"1800NEH1641","U",387259,405194,"U",387740,404900,"","",0,"new"
"1800NEH1642","U",387740,404900,"U",387259,405194,"","",0,"new"
"1800NEH1651","U",391576,415432,"U",391454,415712,"","",0,"new"
"1800NEH1652","U",391454,415712,"U",391576,415432,"","",0,"new"
"1800NEH1661","U",387740,404900,"U",387270,404907,"","",0,"new"
"1800NEH1671","U",393407,411306,"U",393183,411526,"","",0,"new"
"1800NEH1672","U",393270,411430,"U",393592,411510,"","",0,"new"
"1800NEH1681","U",387722,415027,"U",386955,416087,"","",0,"new"
"1800NEH1691","U",383327,415775,"U",384709,414955,"","",0,"new"
"1800NEH1692","U",384709,414955,"U",383327,415775,"","",0,"new"
"1800NEH1701","U",387592,414672,"U",387576,414937,"","",0,"new"
"1800NEH1702","U",387576,414937,"U",387592,414672,"","",0,"new"
"1800NEH1711","U",386983,414158,"U",386952,414346,"","",0,"new"
"1800NEH1712","U",386952,414346,"U",386983,414158,"","",0,"new"
"1800NEH1721","U",386777,414254,"U",386983,414158,"","",0,"new"
"1800NEH1722","U",386983,414158,"U",386777,414254,"","",0,"new"
"1800NEH1731","U",387452,414599,"U",387221,414744,"","",0,"new"
"1800NEH1732","U",387452,414599,"U",386955,416087,"","",0,"new"
"1800NEH1741","U",386173,413566,"U",386439,413318,"","",0,"new"
"1800NEH1742","U",386439,413318,"U",386173,413566,"","",0,"new"
"1800NEH1751","U",391926,412960,"U",391914,412895,"","",0,"new"
"1800NEH1752","U",391938,413027,"U",391914,412895,"","",0,"new"
"1800NEH1761","U",392135,413130,"U",391926,412960,"","",0,"new"
"1800NEH1762","U",391926,412960,"U",392135,413130,"","",0,"new"
"1800NEH1771","U",390998,410169,"U",390913,410111,"","",0,"new"
"1800NEH1781","U",389090,414490,"U",389264,414567,"","",0,"new"
"1800NEH1782","U",389264,414567,"U",389090,414490,"","",0,"new"
"1800NEH1791","U",389237,414670,"U",389072,414591,"","",0,"new"
"1800NEH1792","U",389072,414591,"U",389237,414670,"","",0,"new"
"1800NEH1801","U",389298,414430,"U",389264,414567,"","",0,"new"
"1800NEH1802","U",389442,413857,"U",388871,414787,"","",0,"new"
"1800NEH1811","U",389264,414567,"U",389298,414430,"","",0,"new"
"1800NEH1812","U",389442,413857,"U",388871,414787,"","",0,"new"
"1800NEH1821","U",389417,413974,"U",389389,414205,"","",0,"new"
"1800NEH1822","U",389513,414459,"U",389310,413880,"","",0,"new"
"1800NEH1831","U",386093,407330,"U",385989,407495,"","",0,"new"
"1800NEH1832","U",385989,407495,"U",386093,407330,"","",0,"new"
"1800NEH1841","U",389776,413735,"U",389719,413931,"","",0,"new"
"1800NEH1842","U",389719,413931,"U",389776,413735,"","",0,"new"
"1800NEH1851","U",389776,413735,"U",389719,413931,"","",0,"new"
"1800NEH1852","U",389719,413931,"U",389776,413735,"","",0,"new"
"1800NEH1861","U",389776,413735,"U",389622,413702,"","",0,"new"
"1800NEH1862","U",389622,413702,"U",389776,413735,"","",0,"new"
"1800NEH1871","U",388525,409452,"U",388788,409426,"","",0,"new"
"1800NEH1881","U",388050,404550,"U",388129,404557,"","",0,"new"
"1800NEH1882","U",388129,404557,"U",388050,404550,"","",0,"new"
"1800NEH1891","U",390874,413047,"U",390954,413023,"","",0,"new"
"1800NEH1892","U",390954,413023,"U",390874,413047,"","",0,"new"
"1800NEH1901","U",384562,409669,"U",385684,408810,"","",0,"new"
"1800NEH1902","U",385684,408810,"U",384562,409669,"","",0,"new"
"1800NEH1911","U",383327,415775,"U",382263,416566,"","",0,"new"
"1800NEH1921","U",389280,412497,"U",389117,412002,"","",0,"new"
"1800NEH1922","U",389117,412002,"U",389280,412497,"","",0,"new"
"1800NEH1931","U",384562,409669,"U",385684,408810,"","",0,"new"
"1800NEH1932","U",385684,408810,"U",384562,409669,"","",0,"new"
"1800NEH1941","U",393202,412491,"U",393211,412792,"","",0,"new"
"1800NEH1942","U",393099,412467,"U",393371,413191,"","",0,"new"
"1800NEH1951","U",392956,412416,"U",393099,412467,"","",0,"new"
"1800NEH1952","U",393099,412467,"U",392956,412416,"","",0,"new"
"1800NEH1961","U",385959,413581,"U",386083,413574,"","",0,"new"
"1800NEH1962","U",386083,413574,"U",385959,413581,"","",0,"new"
"1800NEH1971","U",385830,413764,"U",385995,413738,"","",0,"new"
"1800NEH1972","U",385995,413738,"U",385830,413764,"","",0,"new"
"1800NEH1981","U",392896,412060,"U",392829,412184,"","",0,"new"
"1800NEH1982","U",392829,412184,"U",392896,412060,"","",0,"new"
"1800NEH1991","U",385732,413565,"U",385830,413764,"","",0,"new"
"1800NEH1992","U",385830,413764,"U",385732,413565,"","",0,"new"
"1800NEH2001","U",385750,407006,"U",385989,407495,"","",0,"new"
